X;Y;AREA;INTERSECCI;CALLE_2;CALLE_1;CONTROLADO;DIRECCION NORMALIZADA;CALLE;CRUCE
-58,4523470843556;-34,584836391114;4;OLLEROS-FRAGA;FRAGA;OLLEROS;AUTOTROL CT800DMC;FRAGA Y OLLEROS;FRAGA;OLLEROS
-58,4263156821786;-34,584856631351;3;GUATEMALA-THAMES;THAMES;GUATEMALA;SIEMENS STC M4-20;THAMES Y GUATEMALA;THAMES;GUATEMALA
-58,4999175043793;-34,584883080463;7;MOSCONI AV. - CONDARCO;CONDARCO;MOSCONI AV.;SIEMENS CLS95;CONDARCO Y MOSCONI GENERAL AV.;CONDARCO;MOSCONI GENERAL AV.
-58,4495546924066;-34,584887517945;4;NEWBERY JORGE-ROSETI;ROSETI;NEWBERY JORGE;AUTOTROL CT800DMC;ROSETI Y NEWBERY, JORGE AV.;ROSETI;NEWBERY, JORGE AV.
-58,4605362219565;-34,584943895488;7;TRIUNVIRATO AV. - ELCANO AV.;ELCANO AV.;TRIUNVIRATO AV.;SIEMENS CLS95;ELCANO AV. Y TRIUNVIRATO AV.;ELCANO AV.;TRIUNVIRATO AV.
-58,4721298155892;-34,584956917469;7;COMBATIENTES DE MALVINAS AV. - GIRARDOT;GIRARDOT;COMBATIENTES DE MALVINAS AV.;SIEMENS CLS95;GIRARDOT Y COMBATIENTES DE MALVINAS AV.;GIRARDOT;COMBATIENTES DE MALVINAS AV.
-58,3910058029010;-34,584986600487;3;DEL LIBERTADOR AV.-ALVEAR AV.;ALVEAR AV.;DEL LIBERTADOR AV.;SIEMENS STC M4-20;ALVEAR AV. Y DEL LIBERTADOR AV.;ALVEAR AV.;DEL LIBERTADOR AV.
-58,3999340239830;-34,585025013901;3;LAS HERAS AV.-AUSTRIA;AUSTRIA;LAS HERAS AV.;SIEMENS STC M4-20;AUSTRIA Y LAS HERAS GENERAL AV.;AUSTRIA;LAS HERAS GENERAL AV.
-58,4634920108998;-34,585042872076;7;TRIUNVIRATO AV. - HEREDIA;HEREDIA;TRIUNVIRATO AV.;SIEMENS CLS95;HEREDIA Y TRIUNVIRATO AV.;HEREDIA;TRIUNVIRATO AV.
-58,4140729322867;-34,585133861619;3;ARAOZ-ARENALES;ARENALES;ARAOZ;SIEMENS STC M4-20;ARENALES Y ARAOZ;ARENALES;ARAOZ
-58,4620563901177;-34,585134487260;7;TRIUNVIRATO AV. - 14 DE JULIO;14 DE JULIO;TRIUNVIRATO AV.;SIEMENS CLS95;14 DE JULIO Y TRIUNVIRATO AV.;14 DE JULIO;TRIUNVIRATO AV.
-58,4794378786975;-34,585140961996;7;DE LOS INCAS AV. - VICTORICA, BENJAMIN, GRAL. AV.;VICTORICA, BENJAMIN, GRAL. AV.;DE LOS INCAS AV.;SIEMENS CLE;VICTORICA, BENJAMIN, GENERAL, AV. Y DE LOS INCAS AV.;VICTORICA, BENJAMIN, GENERAL, AV.;DE LOS INCAS AV.
-58,4159536194659;-34,585151718690;3;SANTA FE AV.-SCALABRINI ORTIZ AV.;SCALABRINI ORTIZ AV.;SANTA FE AV.;SIEMENS CLS214PLUS;SCALABRINI ORTIZ, RAUL AV. Y SANTA FE AV.;SCALABRINI ORTIZ, RAUL AV.;SANTA FE AV.
-58,4159536194659;-34,585151718690;3;SANTA FE AV.-SCALABRINI ORTIZ AV. BOLSON;SCALABRINI ORTIZ AV.;SANTA FE AV.;SIEMENS CLS214PLUS;SCALABRINI ORTIZ, RAUL AV. Y SANTA FE AV.;SCALABRINI ORTIZ, RAUL AV.;SANTA FE AV.
-58,4539657324322;-34,585181672709;4;FOREST AV.-LACROZE FEDERICO AV.;LACROZE FEDERICO AV.;FOREST AV.;AUTOTROL CT800DMC;LACROZE, FEDERICO AV. Y FOREST AV.;LACROZE, FEDERICO AV.;FOREST AV.
-58,4109663789780;-34,585203485806;3;SALGUERO JERONIMO-JUNCAL;JUNCAL;SALGUERO JERONIMO;SIEMENS STC M4-20;JUNCAL Y SALGUERO, JERONIMO;JUNCAL;SALGUERO, JERONIMO
